"politc_id","content","person_election","person_id","name","type","organization_id","party","victor","now"
10946,"加速國5銜接蘇花改，解決蘇澳市區塞車；東澳 - 南澳路廊截彎取直，蘇澳到花蓮1小時。（「督促未來5年6000億元建設」子項目）",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10933,"修改政黨法，政黨名稱不得冠有他國國名，或足以使人誤認為他國之政黨。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10941,"各類社會保險投保年資併計，政府應負最終給付責任。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10949,"爭取陽交大醫學院遷校宜蘭，增加經費改善醫療設施，提升醫療品質成為醫學中心。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10948,"T-PASS 通勤月票常態化。（「督促未來5年6000億元建設」子項目）",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10935,"訂定中共代理人法，嚇阻中國滲透。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10945,"加速台2庚山腳觀光道路開闢。（「督促未來5年6000億元建設」子項目）",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10940,"提高公糧收購價格，每公斤增加3元，每4年定期檢討；公糧收購納入有機米。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10951,"爭取老舊漁船收購、釋出船席，發展海上休閒運動。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10937,"立法院應邀請總統進行國情報告，依憲法精神不答詢。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10943,"改善國五壅塞：北宜高鐵10年完工，爭取第二條北宜快速道路（台62線），台北 - 礁溪55分鐘。（「督促未來5年6000億元建設」子項目）",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10938,"縣市議會增設不分區政黨代表席次，以利青年及專業人士參政。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10944,"加速完成鐵路高架。（「督促未來5年6000億元建設」子項目）",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10936,"檢討區域及不分區立委名額，充分反映多元民意。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10953,"督促農業部應優先價購收回保安林地承租權，以保障林農權益。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10942,"堅決反對重啟核四。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10952,"爭取宜蘭治山防災及橋梁改建，加速蘇澳分洪道工程、農路、野溪整治。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10934,"推動國營事業及機關正名，鞏固台灣主體性。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10947,"加速縣內四縱六橫交通路網建構。（「督促未來5年6000億元建設」子項目）",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10950,"爭取成立 「宜蘭國家風景區管理處」，推動宜蘭溫泉大縣計畫，發展觀光。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
10939,"打詐用重法，電信公司應建立查核及調查機制，如有疏失應負連帶賠償責任。",77204,8294,"陳俊宇","legislator",NA,"民主進步黨","y",NA
11351,"增設民安國小地下停車場",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11342,"改建三鶯大橋",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
